iteration,max return,median return,avg return,min return,std return,avg rollout len,num total samples,explained var critic,loss improv critic,avg grad norm critic,loss after,KL(old_new),avg expl strat std,expl strat entropy,avg grad norm policy
0,-454.4246,-610.0282,-598.6192,-677.3985,63.8002,1000.0,10000,0.19689999520778656,0.17839999496936798,0.4653,-0.0007999999797903001,0.00039999998989515007,0.9890000224113464,1.3523999452590942,0.0126
1,-519.3935,-616.0729,-608.4878,-700.5027,59.5705,1000.0,20000,0.4341999888420105,0.22859999537467957,0.9463,-0.0007999999797903001,0.0003000000142492354,0.9769999980926514,1.2796000242233276,0.0138
2,-469.5058,-631.2423,-605.5004,-716.7725,90.3483,1000.0,30000,0.6347000002861023,0.23340000212192535,0.9991,-0.000699999975040555,0.00039999998989515007,0.9660000205039978,1.2115999460220337,0.0141
3,-405.8085,-564.9524,-544.9085,-667.7379,72.0637,1000.0,40000,0.7728999853134155,0.2619999945163727,1.0,-0.0007999999797903001,0.0005000000237487257,0.9571999907493591,1.156499981880188,0.0155
4,-520.2981,-577.2797,-592.7799,-702.484,57.3443,1000.0,50000,0.8212000131607056,0.22789999842643738,1.0,-0.000699999975040555,0.00039999998989515007,0.9501000046730042,1.111799955368042,0.014
5,-401.9497,-556.146,-546.1941,-638.3048,72.0233,1000.0,60000,0.8518999814987183,0.20909999310970306,1.0,-0.000699999975040555,0.0003000000142492354,0.9388999938964844,1.0405000448226929,0.0134
6,-496.5744,-568.6115,-578.6924,-818.0174,85.1777,1000.0,70000,0.8939999938011169,0.2062000036239624,1.0,-0.0010000000474974513,0.0006000000284984708,0.9294999837875366,0.9801999926567078,0.016
7,-237.2575,-496.3949,-454.9507,-580.405,106.3434,1000.0,80000,0.9297000169754028,0.23880000412464142,1.0,-0.0012000000569969416,0.0012000000569969416,0.9207000136375427,0.9229999780654907,0.0166
8,-377.5919,-426.8401,-462.8876,-603.9918,71.2258,1000.0,90000,0.926800012588501,0.12680000066757202,1.0,-0.0008999999845400453,0.000699999975040555,0.9135000109672546,0.8755999803543091,0.0165
9,-408.7082,-451.2192,-472.0914,-550.1314,53.3164,1000.0,100000,0.9325000047683716,0.13089999556541443,1.0,-0.0007999999797903001,0.0006000000284984708,0.9071000218391418,0.8335000276565552,0.0183
10,-346.4294,-415.8955,-438.4251,-568.1649,68.8681,1000.0,110000,0.9440000057220459,0.15790000557899475,1.0,-0.000699999975040555,0.00039999998989515007,0.8992999792098999,0.781000018119812,0.0164
11,-278.1128,-400.1439,-388.6806,-534.1139,69.2085,1000.0,120000,0.946399986743927,0.12890000641345978,1.0,-0.0006000000284984708,0.0003000000142492354,0.88919997215271,0.7134000062942505,0.0153
12,-394.4211,-470.3513,-479.4331,-589.6721,57.2011,1000.0,130000,0.9556999802589417,0.15039999783039093,1.0,-0.0005000000237487257,0.0003000000142492354,0.8819000124931335,0.6639999747276306,0.0152
13,-311.8239,-438.8243,-425.219,-526.5302,63.948,1000.0,140000,0.9476000070571899,0.08869999647140503,1.0,-0.0007999999797903001,0.00039999998989515007,0.8738999962806702,0.609000027179718,0.0184
14,-290.2817,-415.3037,-406.3128,-530.1289,75.4172,1000.0,150000,0.954200029373169,0.13760000467300415,1.0,-0.0007999999797903001,0.0007999999797903001,0.8655999898910522,0.551800012588501,0.0166
15,-315.0441,-384.9461,-383.973,-437.3447,39.8874,1000.0,160000,0.9606999754905701,0.1362999975681305,1.0,-0.000699999975040555,0.0003000000142492354,0.857200026512146,0.4934999942779541,0.0162
16,-240.4707,-397.1123,-403.823,-517.7227,75.9112,1000.0,170000,0.9581000208854675,0.06800000369548798,1.0,-0.000699999975040555,0.00039999998989515007,0.8482000231742859,0.42989999055862427,0.0176
17,-288.4625,-433.9753,-424.2196,-507.0061,68.9401,1000.0,180000,0.9631999731063843,0.10440000146627426,1.0,-0.0006000000284984708,0.0006000000284984708,0.8414000272750854,0.3822000026702881,0.0158
18,-278.5548,-351.29,-358.0534,-461.496,62.159,1000.0,190000,0.9690999984741211,0.155799999833107,1.0,-0.0005000000237487257,0.00019999999494757503,0.8349000215530396,0.33559998869895935,0.0158
19,-284.0594,-382.7679,-381.0845,-440.2824,41.2197,1000.0,200000,0.9631999731063843,0.08049999922513962,1.0,-0.0007999999797903001,0.000699999975040555,0.8269000053405762,0.2775999903678894,0.0172
20,-270.4093,-375.1243,-385.5699,-510.1653,79.5699,1000.0,210000,0.9682999849319458,0.10830000042915344,1.0,-0.000699999975040555,0.000699999975040555,0.819599986076355,0.22419999539852142,0.0185
21,-263.756,-319.1154,-338.3998,-455.1271,62.936,1000.0,220000,0.9679999947547913,0.0754999965429306,1.0,-0.0007999999797903001,0.000699999975040555,0.8137000203132629,0.18129999935626984,0.0205
22,-233.5888,-321.2995,-325.4198,-414.9176,63.2129,1000.0,230000,0.968500018119812,0.10189999639987946,1.0,-0.0008999999845400453,0.0008999999845400453,0.805400013923645,0.11990000307559967,0.0204
23,-237.3248,-355.1537,-352.2072,-457.9475,74.1473,1000.0,240000,0.9713000059127808,0.11050000041723251,1.0,-0.000699999975040555,0.00039999998989515007,0.7979000210762024,0.06350000202655792,0.0192
24,-227.3968,-267.8393,-276.4943,-364.0612,38.797,1000.0,250000,0.9623000025749207,0.03579999879002571,1.0,-0.0005000000237487257,0.0005000000237487257,0.7936000227928162,0.03099999949336052,0.0179
25,-220.3689,-302.7292,-301.9637,-393.5188,61.5273,1000.0,260000,0.9729999899864197,0.07590000331401825,1.0,-0.0005000000237487257,0.0003000000142492354,0.7882000207901001,-0.01080000028014183,0.0176
26,-233.7075,-276.9367,-311.4696,-455.016,69.2002,1000.0,270000,0.9746999740600586,0.12690000236034393,1.0,-0.000699999975040555,0.0005000000237487257,0.7814000248908997,-0.06239999830722809,0.0184
27,-180.3942,-287.7308,-279.5078,-366.0679,69.7901,1000.0,280000,0.9713000059127808,0.07980000227689743,1.0,-0.000699999975040555,0.0006000000284984708,0.7750999927520752,-0.1111999973654747,0.0178
28,-204.7186,-286.1724,-309.7577,-537.8473,94.3685,1000.0,290000,0.9750999808311462,0.1720000058412552,1.0,-0.0006000000284984708,0.000699999975040555,0.7698000073432922,-0.15279999375343323,0.0184
29,-170.2127,-289.7726,-299.9112,-570.089,108.3944,1000.0,300000,0.9811000227928162,0.17260000109672546,1.0,-0.000699999975040555,0.00039999998989515007,0.7634000182151794,-0.20319999754428864,0.0188
30,-145.6065,-235.5941,-249.2611,-365.9282,69.197,1000.0,310000,0.9779000282287598,0.08489999920129776,1.0,-0.0006000000284984708,0.0005000000237487257,0.7583000063896179,-0.24300000071525574,0.0189
31,-81.3742,-221.8461,-224.0326,-359.309,77.0519,1000.0,320000,0.9761000275611877,0.08449999988079071,1.0,-0.0008999999845400453,0.0006000000284984708,0.7501999735832214,-0.30820000171661377,0.0239
32,-135.8427,-277.2204,-252.4844,-337.1749,74.6029,1000.0,330000,0.9817000031471252,0.05700000002980232,1.0,-0.0007999999797903001,0.0006000000284984708,0.7439000010490417,-0.3582000136375427,0.0208
33,-160.7763,-231.9417,-235.9357,-332.6782,56.1649,1000.0,340000,0.9733999967575073,0.052299998700618744,1.0,-0.0008999999845400453,0.000699999975040555,0.7372000217437744,-0.41359999775886536,0.0193
34,-111.0659,-216.7081,-210.7974,-332.5736,54.8115,1000.0,350000,0.9656999707221985,0.052299998700618744,1.0,-0.0006000000284984708,0.0005000000237487257,0.730400025844574,-0.4691999852657318,0.0216
35,-94.1401,-214.5543,-214.4454,-371.5951,83.6822,1000.0,360000,0.979200005531311,0.1647000014781952,1.0,-0.000699999975040555,0.000699999975040555,0.7269999980926514,-0.4977000057697296,0.0218
36,-88.8389,-223.2953,-216.4849,-336.0109,72.2007,1000.0,370000,0.9591000080108643,0.15240000188350677,1.0,-0.0008999999845400453,0.0008999999845400453,0.7228999733924866,-0.5325999855995178,0.024
37,-41.2475,-136.3939,-146.8829,-274.0345,55.9915,1000.0,380000,0.9768000245094299,0.07930000126361847,1.0,-0.0010999999940395355,0.0010000000474974513,0.7160999774932861,-0.5899999737739563,0.0228
38,-171.9607,-227.7131,-258.3885,-461.3463,83.7155,1000.0,390000,0.9799000024795532,0.11980000138282776,1.0,-0.000699999975040555,0.0006000000284984708,0.7110999822616577,-0.6322000026702881,0.0236
