iteration,max return,median return,avg return,min return,std return,avg memory reward,avg rollout length,num total samples,Q1 loss,Q2 loss,policy loss,avg grad norm policy,avg expl strat std,ent_coeff
14,138.1699,100.956,102.0786,50.449,19.8179,0.2766,195.87,162537,1.2887717485427856,1.2691999673843384,-9.718957901000977,0.7831008434295654,1.1685696840286255,0.00018946446652989835
15,114.5205,74.5188,74.7555,37.9379,15.6569,0.2815,158.18,171546,1.3679313659667969,1.3481553792953491,-10.24471664428711,0.8619386553764343,1.1632800102233887,0.00011535367229953408
16,87.1472,64.8763,64.6278,37.9167,11.9883,0.288,138.45,180766,1.3839633464813232,1.3724457025527954,-10.776201248168945,0.9261321425437927,1.1676533222198486,7.018942415015772e-05
17,198.2819,158.8756,157.203,125.5294,17.6587,0.2943,300.0,189870,1.4335707426071167,1.4212677478790283,-11.248160362243652,0.9987730383872986,1.1700108051300049,4.271628858987242e-05
18,127.5437,85.4721,87.0335,40.587,18.6926,0.3001,170.38,198939,1.458730697631836,1.451058030128479,-11.654389381408691,1.0641725063323975,1.1726831197738647,2.6004263418144546e-05
19,121.6034,78.6862,77.1436,44.6445,15.2845,0.3053,149.93,208059,1.4408303499221802,1.4343205690383911,-12.042208671569824,1.0572059154510498,1.1715524196624756,1.579639319970738e-05
20,171.4673,143.5007,140.7654,105.3223,14.8726,0.31,300.0,217483,1.4436235427856445,1.439048171043396,-12.378218650817871,1.1252665519714355,1.1700917482376099,9.591629350325093e-06
21,158.6569,136.1929,136.3502,109.4317,11.3426,0.3144,300.0,226569,1.382925033569336,1.3789722919464111,-12.702568054199219,1.1807997226715088,1.169622778892517,5.817811597808031e-06
22,110.4602,65.81,66.4959,39.204,13.433,0.3191,134.04,235618,1.4437533617019653,1.4377361536026,-12.953784942626953,1.1690800189971924,1.1695408821105957,3.5280381780466996e-06
23,197.3268,170.3437,163.7159,66.0705,25.711,0.3222,290.03,244745,1.4683390855789185,1.4658061265945435,-13.140371322631836,1.192026138305664,1.17035973072052,2.139936896128347e-06
24,169.8874,144.0047,145.003,119.0072,12.9465,0.3263,300.0,253818,1.4429409503936768,1.4412373304367065,-13.336457252502441,1.2180891036987305,1.1687864065170288,1.298904408031376e-06
25,125.3906,109.9015,107.9482,90.0606,8.2424,0.3299,300.0,262968,1.4466874599456787,1.441868543624878,-13.541885375976562,1.2331739664077759,1.1664133071899414,7.870045806157577e-07
26,167.6574,133.98,134.2578,109.4818,11.9193,0.3327,300.0,272336,1.4371179342269897,1.4370002746582031,-13.684652328491211,1.2710165977478027,1.1695747375488281,4.775782826982322e-07
27,176.8755,158.0807,156.0169,127.1881,11.5865,0.3357,300.0,281473,1.4101166725158691,1.412198543548584,-13.819123268127441,1.277846336364746,1.168707013130188,2.8967303933313815e-07
28,209.4776,170.6641,168.6137,73.9045,22.3565,0.3377,289.08,290633,1.4012144804000854,1.4019917249679565,-13.937915802001953,1.3097227811813354,1.1671595573425293,1.7560613230216404e-07
29,172.0997,144.8444,141.8192,117.4489,10.608,0.3402,300.0,299659,1.4428595304489136,1.446935772895813,-14.030604362487793,1.2950280904769897,1.163732647895813,1.061994225892704e-07
30,170.7022,145.8731,146.6229,122.1862,11.9973,0.3427,300.0,308735,1.4838334321975708,1.4867196083068848,-14.121255874633789,1.3128656148910522,1.1625014543533325,6.445769429319625e-08
31,165.7045,145.2019,144.2219,117.4686,11.243,0.3452,300.0,317816,1.4578502178192139,1.4600512981414795,-14.242903709411621,1.3425281047821045,1.1657816171646118,3.90982535236617e-08
32,161.8513,144.5164,143.177,118.0617,10.2036,0.3477,300.0,326915,1.4605454206466675,1.4641423225402832,-14.32575511932373,1.3562783002853394,1.1640267372131348,2.3721799635723073e-08
33,170.3331,146.3646,147.4083,119.0994,10.8481,0.3503,300.0,336209,1.465882420539856,1.4727306365966797,-14.434247970581055,1.3558694124221802,1.1607294082641602,1.439266483771462e-08
34,171.2005,157.4405,154.5394,116.6334,11.0948,0.3523,300.0,345570,1.496908187866211,1.5013489723205566,-14.529862403869629,1.3847888708114624,1.158868670463562,8.72481464853081e-09
35,98.374,74.9367,72.6669,36.5349,12.078,0.3546,140.39,354575,1.5299367904663086,1.5350487232208252,-14.617362976074219,1.3715050220489502,1.1588746309280396,5.3007878086930305e-09
36,155.7501,134.8606,134.8953,114.8735,9.4169,0.3565,300.0,363671,1.5073853731155396,1.5125148296356201,-14.704618453979492,1.380632758140564,1.1588081121444702,3.208957766176468e-09
37,157.7488,141.5848,139.1516,118.2951,10.0818,0.3587,300.0,372729,1.5350087881088257,1.536185383796692,-14.804927825927734,1.3943560123443604,1.1548629999160767,1.9499317716054065e-09
38,153.0346,134.047,133.7091,112.7291,9.0204,0.3607,300.0,381777,1.5362718105316162,1.5413408279418945,-14.92335319519043,1.3777216672897339,1.1576340198516846,1.1810162847680772e-09
39,165.6871,151.2151,148.7705,118.9201,10.9152,0.3621,300.0,390979,1.5332927703857422,1.5360515117645264,-14.999104499816895,1.4055970907211304,1.1575927734375,7.18591464110574e-10
40,208.9697,149.9169,149.6499,62.4885,37.117,0.3639,239.67,400096,1.5897272825241089,1.595078706741333,-15.09175968170166,1.413720965385437,1.1545591354370117,4.3602735311232266e-10
41,209.5636,135.5481,134.7117,39.4388,41.4869,0.3652,226.89,409202,1.584044337272644,1.5876030921936035,-15.17866325378418,1.4124948978424072,1.156051754951477,2.646738939127147e-10
42,120.3186,59.1316,64.6612,40.0796,20.0223,0.3668,122.62,418279,1.5944410562515259,1.598610520362854,-15.256945610046387,1.4212993383407593,1.1559776067733765,1.606630106731899e-10
43,188.0281,171.8255,169.395,141.4449,13.2859,0.3681,300.0,427354,1.6626582145690918,1.668907880783081,-15.396432876586914,1.4250473976135254,1.1540378332138062,9.760087182897337e-11
44,148.3551,94.4747,96.8032,52.38,14.4138,0.3696,173.68,436436,1.6407700777053833,1.6432114839553833,-15.460622787475586,1.422782301902771,1.1538242101669312,5.920480772303449e-11
45,175.5549,161.9547,160.77,133.1684,11.4129,0.371,300.0,445718,1.7058196067810059,1.7096099853515625,-15.554163932800293,1.4322338104248047,1.1531503200531006,3.5981728013778635e-11
46,208.3652,172.7747,172.7777,142.9855,14.6951,0.3727,300.0,454857,1.7045385837554932,1.7093007564544678,-15.66773509979248,1.4284526109695435,1.1500684022903442,2.1821815188172167e-11
47,219.193,148.6596,149.2203,85.8373,37.1503,0.3739,238.97,463910,1.7424254417419434,1.7501126527786255,-15.752755165100098,1.4289902448654175,1.150075078010559,1.326749734381627e-11
48,199.2322,152.2449,148.6565,123.0791,12.8353,0.3751,300.0,472981,1.765738606452942,1.767852544784546,-15.859175682067871,1.4364453554153442,1.1485629081726074,8.048786463710211e-12
49,221.347,195.9554,194.2929,164.5707,17.3191,0.3768,300.0,482038,1.7790762186050415,1.7864577770233154,-15.963940620422363,1.4357168674468994,1.1492712497711182,4.888264706209844e-12
