iteration,max return,median return,avg return,min return,std return,avg rollout len,num total samples,explained var critic,loss improv critic,avg grad norm critic,loss after,KL(old_new),avg expl strat std,expl strat entropy,avg grad norm policy
15,179.8537,68.9891,65.7124,4.5181,33.4299,55.2692,160587,0.9887999892234802,0.39010000228881836,1.0,-0.002199999988079071,0.0012000000569969416,0.9459999799728394,1.250499963760376,0.0467
16,218.8019,63.6703,65.7729,5.7335,31.1408,52.3822,170592,0.9886999726295471,0.49059998989105225,0.999,-0.002099999925121665,0.0008999999845400453,0.9416999816894531,1.2371000051498413,0.0431
17,195.9973,65.9669,66.9906,5.7301,24.9838,51.1735,180622,0.9868999719619751,0.48100000619888306,1.0,-0.002199999988079071,0.0008999999845400453,0.9453999996185303,1.2487000226974487,0.0365
18,240.4107,67.2821,70.1202,6.9362,26.7644,51.5939,190786,0.9843000173568726,0.4410000145435333,1.0,-0.0015999999595806003,0.0008999999845400453,0.9442999958992004,1.2454999685287476,0.0381
19,214.9646,64.4952,70.1568,8.1658,27.7009,49.8308,200802,0.9822999835014343,0.374099999666214,1.0,-0.00139999995008111,0.0015999999595806003,0.9485999941825867,1.259600043296814,0.0447
20,234.2482,69.187,74.0398,6.7754,32.8828,52.4062,210864,0.9815000295639038,0.3416999876499176,1.0,-0.001500000013038516,0.00139999995008111,0.9531999826431274,1.273900032043457,0.0436
21,225.4144,67.6491,74.5035,7.42,33.1877,50.3618,220886,0.9817000031471252,0.296999990940094,1.0,-0.002400000113993883,0.002400000113993883,0.9495000243186951,1.2623000144958496,0.0442
22,216.2584,75.4331,86.4394,8.3352,42.3449,56.6554,230914,0.979200005531311,0.18119999766349792,1.0,-0.0010999999940395355,0.0027000000700354576,0.9473000168800354,1.2553999423980713,0.0413
23,233.0493,84.4581,92.5761,6.9365,43.3998,59.1882,240976,0.9776999950408936,0.17730000615119934,1.0,-0.0010999999940395355,0.002899999963119626,0.95169997215271,1.2696000337600708,0.048
24,236.3773,84.8761,99.1229,6.3144,48.2333,62.956,250986,0.9778000116348267,0.1826000064611435,1.0,-0.00139999995008111,0.0020000000949949026,0.9460999965667725,1.2517999410629272,0.0453
25,210.065,96.8217,108.3026,8.0755,50.4606,66.4238,261016,0.9797000288963318,0.20559999346733093,1.0,-0.0008999999845400453,0.002099999925121665,0.9402999877929688,1.233199954032898,0.0404
26,235.7947,119.4804,122.9959,15.9289,49.425,73.4818,271083,0.980400025844574,0.23559999465942383,1.0,-0.0008999999845400453,0.0015999999595806003,0.9323999881744385,1.2073999643325806,0.0398
27,222.8806,116.1212,121.7465,12.6428,49.2064,73.4672,281148,0.9812999963760376,0.2298000007867813,1.0,0.0003000000142492354,0.004399999976158142,0.921999990940094,1.1734999418258667,0.0458
28,253.5188,129.2167,134.5143,21.4579,49.5892,79.0157,291183,0.9833999872207642,0.2892000079154968,1.0,-0.000699999975040555,0.00279999990016222,0.9125999808311462,1.142300009727478,0.0445
29,249.407,152.1274,146.8868,7.4535,49.6558,84.1092,301192,0.9869999885559082,0.35989999771118164,1.0,0.00039999998989515007,0.0027000000700354576,0.909600019454956,1.1318999528884888,0.0412
30,219.8529,165.5523,154.6091,45.5772,46.0448,89.2832,311281,0.9871000051498413,0.3328000009059906,1.0,0.0010000000474974513,0.0034000000450760126,0.9077000021934509,1.125499963760376,0.0372
31,218.442,171.3468,157.492,56.8281,43.333,91.1261,321396,0.9894999861717224,0.39730000495910645,1.0,9.999999747378752e-05,0.0013000000035390258,0.8999999761581421,1.0992000102996826,0.0342
32,238.929,178.9184,163.6039,56.2623,45.7044,93.5047,331401,0.9904999732971191,0.34439998865127563,1.0,-0.0007999999797903001,0.0017000000225380063,0.8960999846458435,1.0852999687194824,0.0381
33,239.1815,183.6716,167.7614,26.7334,45.3656,95.6667,341446,0.9914000034332275,0.366100013256073,1.0,0.00019999999494757503,0.002099999925121665,0.8878999948501587,1.05840003490448,0.0373
34,248.9135,185.8691,175.2654,9.3729,41.048,99.2079,351466,0.9925000071525574,0.37790000438690186,1.0,-9.999999747378752e-05,0.0012000000569969416,0.8842999935150146,1.0462000370025635,0.0335
35,233.8185,181.7432,169.4541,63.2872,39.4938,95.2381,361466,0.9932000041007996,0.3874000012874603,1.0,-0.0003000000142492354,0.002300000051036477,0.8715000152587891,1.0020999908447266,0.0372
36,245.1593,191.0378,178.0609,62.6014,34.4476,99.3465,371500,0.9940000176429749,0.3450999855995178,1.0,0.0010999999940395355,0.0027000000700354576,0.8686000108718872,0.9916999936103821,0.0328
37,230.6099,187.332,176.7535,35.5744,36.7724,98.2157,381518,0.9944000244140625,0.3562000095844269,1.0,-9.999999747378752e-05,0.0017999999690800905,0.8634999990463257,0.9726999998092651,0.034
38,281.868,188.9402,180.5547,52.4922,31.8228,101.0303,391520,0.9947999715805054,0.35179999470710754,1.0,-0.0006000000284984708,0.0012000000569969416,0.8593999743461609,0.9591000080108643,0.0335
39,247.966,190.2536,179.0785,83.1156,32.1018,97.4808,401658,0.9951000213623047,0.36660000681877136,1.0,0.00039999998989515007,0.002199999988079071,0.8543999791145325,0.9406999945640564,0.0319
40,238.814,190.3541,184.6257,49.147,28.7839,100.88,411746,0.9959999918937683,0.3853999972343445,1.0,9.999999747378752e-05,0.0026000000070780516,0.8446000218391418,0.9053999781608582,0.0279
41,232.7242,190.5453,182.2377,98.0602,28.1572,99.1287,421758,0.9955999851226807,0.322299987077713,1.0,0.003100000089034438,0.004900000058114529,0.8357999920845032,0.8738999962806702,0.0282
42,219.8694,192.6169,187.7527,117.7232,21.2903,100.91,431849,0.996399998664856,0.37380000948905945,1.0,0.00039999998989515007,0.0027000000700354576,0.8241999745368958,0.8313999772071838,0.0278
43,227.2038,196.8977,191.9662,107.4335,19.5272,102.9184,441935,0.9965000152587891,0.34769999980926514,1.0,-0.0,0.0013000000035390258,0.817300021648407,0.8062999844551086,0.0301
44,215.6419,189.995,183.4605,95.8423,23.2043,97.9903,452028,0.9958999752998352,0.21279999613761902,1.0,0.00139999995008111,0.00430000014603138,0.8181999921798706,0.8094000220298767,0.0293
45,218.8205,195.111,188.385,86.9072,22.2251,100.25,462053,0.9965000152587891,0.2840999960899353,1.0,0.000699999975040555,0.004100000020116568,0.8120999932289124,0.7871000170707703,0.0274
46,223.5701,195.8518,190.4455,118.6162,19.1411,100.11,472064,0.996399998664856,0.22830000519752502,1.0,0.0003000000142492354,0.0017999999690800905,0.8108999729156494,0.7825000286102295,0.028
47,219.3165,188.9149,187.2976,113.0805,20.1489,98.3235,482093,0.9959999918937683,0.15230000019073486,1.0,0.0005000000237487257,0.003100000089034438,0.8054999709129333,0.7610999941825867,0.0241
48,224.5437,193.2538,188.4493,8.7979,26.3488,98.7255,492163,0.9965999722480774,0.25850000977516174,1.0,0.00039999998989515007,0.003800000064074993,0.8004000186920166,0.7425000071525574,0.0255
49,227.5436,191.2328,189.0683,124.6752,18.4551,98.8922,502250,0.9962000250816345,0.14959999918937683,1.0,0.0007999999797903001,0.00430000014603138,0.7975000143051147,0.7314000129699707,0.0265
50,222.5577,194.6213,191.3152,142.3126,15.8781,99.7129,512321,0.9965000152587891,0.155799999833107,1.0,0.000699999975040555,0.0038999998942017555,0.7907999753952026,0.7059000134468079,0.0249
51,215.4268,198.1056,191.3628,123.3958,19.4258,99.6733,522388,0.996399998664856,0.1378999948501587,1.0,0.0012000000569969416,0.0052999998442828655,0.7915999889373779,0.7077999711036682,0.0264
52,224.3538,201.7247,195.2034,140.5091,17.9904,102.6224,532445,0.9962000250816345,0.09459999948740005,1.0,9.999999747378752e-05,0.00279999990016222,0.7876999974250793,0.6924999952316284,0.0283
53,226.3874,200.6457,197.5133,136.1328,13.9645,102.7959,542519,0.9965000152587891,0.13269999623298645,1.0,-0.0003000000142492354,0.0017000000225380063,0.7817999720573425,0.6700000166893005,0.0268
54,228.7533,194.0807,191.0127,130.6108,16.8855,99.1287,552531,0.9961000084877014,0.06800000369548798,1.0,-9.999999747378752e-05,0.002300000051036477,0.777899980545044,0.654699981212616,0.026
55,218.6315,195.8719,192.0325,137.9102,16.4855,99.2277,562553,0.9961000084877014,0.058400001376867294,1.0,9.999999747378752e-05,0.002300000051036477,0.7746999859809875,0.6430000066757202,0.0234
56,210.5514,198.9277,196.7953,147.3853,11.4245,102.0,572651,0.996399998664856,0.08420000225305557,1.0,0.000699999975040555,0.004399999976158142,0.7749000191688538,0.6424000263214111,0.0285
57,213.472,197.954,194.9028,140.7905,12.8198,100.43,582694,0.9962000250816345,0.040800001472234726,1.0,0.0007999999797903001,0.00279999990016222,0.7754999995231628,0.642799973487854,0.026
58,211.8836,199.9302,197.1204,161.0892,11.2076,101.2929,592722,0.9962999820709229,0.06840000301599503,1.0,-9.999999747378752e-05,0.0017000000225380063,0.7699999809265137,0.6198999881744385,0.028
59,229.6092,198.6556,196.4419,154.5133,12.2068,101.2525,602746,0.996399998664856,0.08479999750852585,1.0,-0.0003000000142492354,0.0005000000237487257,0.7638000249862671,0.5946000218391418,0.0289
60,218.2986,199.9929,196.3015,135.1645,14.3331,101.0505,612750,0.996399998664856,0.08720000088214874,1.0,-9.999999747378752e-05,0.002300000051036477,0.7565000057220459,0.5648999810218811,0.0267
61,214.9069,200.2237,198.2378,152.7468,10.4919,101.9798,622846,0.996399998664856,0.07190000265836716,1.0,0.0003000000142492354,0.0015999999595806003,0.7544000148773193,0.5554999709129333,0.026
62,213.4847,198.0875,195.1246,120.5381,14.3265,100.16,632862,0.9965000152587891,0.1014999970793724,1.0,-0.0003000000142492354,0.002300000051036477,0.7494000196456909,0.5340999960899353,0.0245
63,217.313,200.033,197.9395,161.3685,10.5572,101.2828,642889,0.996399998664856,0.06419999897480011,1.0,0.00039999998989515007,0.002400000113993883,0.7444000244140625,0.5123999714851379,0.0268
