iteration,max return,median return,avg return,min return,std return,avg rollout len,num total samples,explained var critic,loss improv critic,avg grad norm critic,loss after,KL(old_new),avg expl strat std,expl strat entropy,avg grad norm policy
19,382.6227,330.5147,320.8449,81.0083,47.6176,129.3871,400891,0.8482000231742859,182.68020629882812,1.0,-14.166000366210938,0.0026000000070780516,0.6158000230789185,-0.035999998450279236,0.9653
20,399.496,338.6267,327.2456,80.3813,54.4524,129.1871,420915,0.8619999885559082,165.4051971435547,1.0,-13.909600257873535,0.00139999995008111,0.6097000241279602,-0.06560000032186508,0.9754
21,392.245,346.2221,343.1634,132.7354,30.4585,134.3557,440934,0.900600016117096,177.87460327148438,1.0,-13.856200218200684,0.002099999925121665,0.6013000011444092,-0.10760000348091125,0.9617
22,405.8972,352.9034,347.0027,72.6489,41.8333,134.2752,460941,0.9071999788284302,161.1461944580078,1.0,-13.17389965057373,0.003000000026077032,0.5870000123977661,-0.17980000376701355,0.967
23,415.552,364.9966,361.5539,263.7344,22.7455,137.5274,481020,0.9261999726295471,166.12139892578125,1.0,-13.254599571228027,0.00419999985024333,0.5688999891281128,-0.2736000120639801,0.9685
24,524.9049,368.5114,369.6851,172.2449,33.6608,139.1111,501052,0.9265999794006348,152.79119873046875,1.0,-12.740799903869629,0.0027000000700354576,0.5558000206947327,-0.3434000015258789,0.9659
25,497.162,371.2659,369.242,130.2818,32.4469,138.0276,521066,0.9372000098228455,137.83030700683594,1.0,-11.759300231933594,0.002300000051036477,0.545199990272522,-0.4020000100135803,0.9668
26,600.1747,382.4299,383.2572,84.736,51.7533,141.2324,541121,0.9235000014305115,123.93009948730469,1.0,-11.952099800109863,0.00279999990016222,0.53329998254776,-0.46790000796318054,0.9782
27,576.3446,386.5693,391.673,306.423,35.2351,143.0929,561154,0.9363999962806702,113.17140197753906,1.0,-11.8100004196167,0.002300000051036477,0.5260000228881836,-0.5102999806404114,0.9782
28,624.0973,398.177,410.2636,300.4733,51.318,148.4667,581197,0.9168999791145325,119.73509979248047,1.0,-12.074199676513672,0.0017000000225380063,0.5188000202178955,-0.5519000291824341,0.9842
