iteration,max return,median return,avg return,min return,std return,avg rollout len,num total samples,explained var critic,loss improv critic,avg grad norm critic,loss after,KL(old_new),avg expl strat std,expl strat entropy,avg grad norm policy
0,52.0123,9.99,11.2863,4.3121,5.3501,14.4014,10009,0.30000001192092896,24.667600631713867,1.0,-1.7848999500274658,0.0024999999441206455,0.9830999970436096,1.367799997329712,0.0634
1,82.3448,11.0285,13.041,3.9932,7.4522,16.1061,20027,0.48399999737739563,13.229700088500977,1.0,-0.9153000116348267,0.0038999998942017555,0.9649999737739563,1.312000036239624,0.0827
2,132.9831,11.7364,16.2513,3.1381,14.1549,18.4346,30037,0.399399995803833,12.539400100708008,1.0,-1.541100025177002,0.00570000009611249,0.9415000081062317,1.2379000186920166,0.1439
3,209.1686,14.4392,25.7901,5.4243,28.4988,23.2953,40054,0.26649999618530273,33.719398498535156,1.0,-4.353799819946289,0.006200000178068876,0.9139000177383423,1.148300051689148,0.2974
4,206.4644,23.2109,41.0296,5.1565,38.4138,30.4152,50091,0.07349999994039536,57.51430130004883,1.0,-7.728799819946289,0.005400000140070915,0.887499988079071,1.0601999759674072,0.4082
5,191.6115,57.6878,61.3153,6.6982,41.9868,39.8725,60099,-0.19550000131130219,76.38919830322266,1.0,-10.490300178527832,0.0032999999821186066,0.8736000061035156,1.0117000341415405,0.5208
6,188.8937,77.921,77.8754,7.2609,39.8956,47.2594,70118,-0.36039999127388,82.38629913330078,1.0,-11.87090015411377,0.0026000000070780516,0.8580999970436096,0.9578999876976013,0.5104
7,218.7595,86.5295,90.0046,5.7887,41.4876,51.9275,80140,-0.4456999897956848,86.21549987792969,1.0,-12.751399993896484,0.001500000013038516,0.8547000288963318,0.9455000162124634,0.5718
8,222.0163,98.7716,104.3619,12.809,40.6626,56.9886,90170,-0.511900007724762,92.0009994506836,1.0,-13.880900382995605,0.002300000051036477,0.8432999849319458,0.9041000008583069,0.5895
9,219.2978,106.886,111.3163,6.8775,49.4764,59.7083,100201,-0.46860000491142273,94.01010131835938,1.0,-14.239299774169922,0.0017999999690800905,0.8321999907493591,0.8634999990463257,0.5875
10,215.3172,113.0163,124.0536,5.8469,46.8567,65.1104,110228,-0.4494999945163727,96.52729797363281,1.0,-14.667099952697754,0.0017999999690800905,0.8151999711990356,0.8003000020980835,0.6367
11,232.3169,161.3721,143.6262,11.0072,44.8509,73.2628,120265,-0.5701000094413757,104.94419860839844,1.0,-16.135499954223633,0.0015999999595806003,0.8025000095367432,0.7524999976158142,0.716
12,205.968,166.6906,146.5019,5.5787,44.7827,73.9338,130320,-0.4196999967098236,125.84230041503906,1.0,-15.87720012664795,0.0024999999441206455,0.7856000065803528,0.6866999864578247,0.6281
13,222.5339,175.3891,162.4828,8.6433,37.199,80.208,140346,-0.10970000177621841,152.60650634765625,1.0,-16.847700119018555,0.0013000000035390258,0.7760000228881836,0.6478000283241272,0.6618
14,210.0818,173.2772,162.8167,7.6355,32.1861,79.8413,150406,0.121799997985363,114.84950256347656,1.0,-16.013399124145508,0.00139999995008111,0.7702000141143799,0.621999979019165,0.6458
15,201.8527,174.5412,168.4882,64.6586,20.7527,83.0165,160451,0.35190001130104065,104.5114974975586,1.0,-15.562100410461426,0.0020000000949949026,0.763700008392334,0.5932999849319458,0.5965
16,212.5441,172.3327,160.8761,51.1908,31.6137,80.184,170474,0.42559999227523804,92.16130065917969,1.0,-13.7431001663208,0.0010999999940395355,0.7634000182151794,0.5910000205039978,0.6255
17,204.5702,172.6809,167.0934,55.5194,21.8292,82.0902,180489,0.5277000069618225,91.83419799804688,1.0,-13.735899925231934,0.000699999975040555,0.7602999806404114,0.5784000158309937,0.5728
18,202.9665,175.4293,171.5035,77.7886,16.8875,84.0756,190494,0.6144000291824341,86.10859680175781,1.0,-13.398300170898438,0.00139999995008111,0.7541000247001648,0.5503000020980835,0.5179
19,198.9072,174.396,166.4704,50.4689,27.1472,81.8455,200561,0.6403999924659729,79.23069763183594,1.0,-12.022299766540527,0.000699999975040555,0.753000020980835,0.5424000024795532,0.6027
20,200.3807,174.0958,168.0186,75.3692,19.5706,83.0661,210612,0.7143999934196472,74.64710235595703,1.0,-11.28849983215332,0.00039999998989515007,0.7560999989509583,0.5544999837875366,0.5307
21,200.5734,173.1732,164.8787,50.8161,27.2028,81.3252,220615,0.741100013256073,65.73259735107422,1.0,-10.189000129699707,0.0008999999845400453,0.7487999796867371,0.5253000259399414,0.4796
22,198.0688,173.869,168.9992,76.0145,19.8736,82.9091,230647,0.7883999943733215,64.94049835205078,1.0,-9.904999732971191,0.0007999999797903001,0.7430999875068665,0.49799999594688416,0.5188
23,191.8855,174.4676,170.458,27.8937,18.9142,83.575,240676,0.8269000053405762,60.74020004272461,1.0,-9.366999626159668,0.0007999999797903001,0.7383000254631042,0.477400004863739,0.4929
24,190.4412,172.1312,169.6752,107.4204,13.2762,83.6833,250718,0.8546000123023987,55.28070068359375,1.0,-8.407099723815918,0.000699999975040555,0.7389000058174133,0.4796999990940094,0.4124
25,193.0224,172.3968,169.348,72.7707,15.8573,83.925,260789,0.8762000203132629,50.932498931884766,1.0,-7.582399845123291,0.0008999999845400453,0.7386000156402588,0.478300005197525,0.4162
26,202.6876,175.0319,172.6127,86.8936,11.9586,84.4538,270839,0.9028000235557556,48.324798583984375,1.0,-7.417399883270264,0.0010999999940395355,0.7422999739646912,0.4878000020980835,0.3702
27,202.7309,175.3604,173.2397,144.6297,9.9576,84.9407,280862,0.9235000014305115,44.863399505615234,1.0,-6.779399871826172,0.000699999975040555,0.7468000054359436,0.5047000050544739,0.3902
28,201.408,174.6137,173.569,101.7822,12.2877,84.8983,290880,0.9332000017166138,38.64459991455078,1.0,-6.164700031280518,0.0007999999797903001,0.7473999857902527,0.507099986076355,0.3574
29,201.9142,176.8765,173.6434,15.1464,19.2434,84.1849,300898,0.932699978351593,34.57099914550781,1.0,-5.6149001121521,0.00039999998989515007,0.7436000108718872,0.48809999227523804,0.3581
