iteration,max return,median return,avg return,min return,std return,avg rollout len,num total samples,explained var critic,loss improv critic,avg grad norm critic,loss after,KL(old_new),avg expl strat std,expl strat entropy,avg grad norm policy
16,-228.3798,-468.113,-439.4413,-543.9715,89.5404,1000.0,170000,0.5526999831199646,72.92880249023438,1.0,2.478300094604492,0.0006000000284984708,0.8737999796867371,0.6068000197410583,0.1332
17,-408.3904,-465.7103,-465.6632,-534.2332,38.9671,1000.0,180000,0.15690000355243683,7.813300132751465,1.0,2.4702000617980957,0.000699999975040555,0.8669000267982483,0.5593000054359436,0.1325
18,-312.5532,-412.3022,-407.2611,-483.9161,50.8659,1000.0,190000,0.5543000102043152,11.28320026397705,1.0,1.6536999940872192,0.0006000000284984708,0.8585000038146973,0.5006999969482422,0.1389
19,-318.9971,-433.6829,-429.3188,-490.3672,43.2613,1000.0,200000,0.1793999969959259,4.250500202178955,1.0,1.6105999946594238,0.0010999999940395355,0.8508999943733215,0.447299987077713,0.1262
20,-405.7442,-459.0421,-455.9224,-560.3455,41.3144,1000.0,210000,0.4657000005245209,7.886499881744385,1.0,2.0571999549865723,0.0007999999797903001,0.8452000021934509,0.40529999136924744,0.1416
21,-247.5847,-369.2158,-359.0676,-449.764,60.0848,1000.0,220000,0.27790001034736633,1.9900000095367432,1.0,0.25029999017715454,0.0006000000284984708,0.8410000205039978,0.37470000982284546,0.1276
22,-281.6696,-427.0897,-402.5808,-515.4353,79.116,1000.0,230000,0.21490000188350677,1.7702000141143799,1.0,0.8641999959945679,0.0006000000284984708,0.8324999809265137,0.3131999969482422,0.1285
23,-256.0166,-369.0374,-366.3716,-478.9984,69.2231,1000.0,240000,0.328900009393692,0.9836999773979187,1.0,0.325300008058548,0.0013000000035390258,0.8260999917984009,0.2676999866962433,0.1278
24,-282.8518,-352.7348,-354.809,-476.6512,58.6656,1000.0,250000,0.2847000062465668,1.315999984741211,1.0,0.1800999939441681,0.0012000000569969416,0.819100022315979,0.21639999747276306,0.1518
25,-234.4364,-370.8715,-363.9232,-507.5011,85.9943,1000.0,260000,0.4763999879360199,3.7762999534606934,1.0,0.43689998984336853,0.0006000000284984708,0.8133999705314636,0.17419999837875366,0.1339
26,-195.7732,-321.4686,-339.0746,-473.2472,96.0587,1000.0,270000,0.3668000102043152,1.6471999883651733,1.0,0.020500000566244125,0.0007999999797903001,0.8048999905586243,0.11110000312328339,0.1305
27,-176.3464,-339.7963,-332.5014,-486.6476,87.2114,1000.0,280000,0.3776000142097473,1.8727999925613403,1.0,-0.07909999787807465,0.0010000000474974513,0.7957000136375427,0.042399998754262924,0.1376
28,-247.9536,-356.3053,-341.9645,-417.9166,59.4032,1000.0,290000,0.382099986076355,1.2883000373840332,1.0,0.005900000222027302,0.0010000000474974513,0.7882000207901001,-0.013799999840557575,0.1237
29,-210.5593,-381.276,-358.4723,-447.8347,80.987,1000.0,300000,0.45500001311302185,1.8151999711990356,1.0,0.29899999499320984,0.0008999999845400453,0.7799999713897705,-0.07609999924898148,0.1285
