iteration,curr policy return,max return,median return,min return,avg return,std return,avg rollout len,num total samples,min mag policy param,max mag policy param,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
17,1025.7678,1056.1893,269.9879,10.1236,445.8339,387.6862,436.4554,385742,0.01366245374083519,-4.963496208190918,0.49070000648498535,0.4984000027179718,0.5059000253677368,-33.39550018310547
18,1036.4937,1049.4179,250.5265,13.5106,430.7608,398.0741,410.9307,427246,0.027541622519493103,-5.0414719581604,0.49070000648498535,0.4984000027179718,0.5058000087738037,-33.39659881591797
19,1027.807,1084.225,371.7385,18.9877,507.0995,404.2749,491.4455,476882,-0.004209503531455994,-5.434414863586426,0.49059998989105225,0.498199999332428,0.5052000284194946,-33.414798736572266
20,1042.4357,1071.5646,297.0432,16.7456,493.8447,402.8959,471.9109,524545,0.06798174232244492,-5.286080837249756,0.48989999294281006,0.49810001254081726,0.5042999982833862,-33.43360137939453
21,1027.4741,1048.8911,309.9753,7.2941,505.6917,397.7478,485.6634,573597,-0.01322288066148758,-5.084146022796631,0.48989999294281006,0.49790000915527344,0.5040000081062317,-33.4468994140625
22,1026.5907,1067.097,491.9081,12.6233,580.1445,399.0001,560.297,630187,0.012917894870042801,-4.80114221572876,0.48919999599456787,0.49790000915527344,0.5052000284194946,-33.45439910888672
23,1030.5235,1245.5387,544.11,20.7394,592.0914,425.7044,565.901,687343,0.03978338837623596,-4.976883411407471,0.48910000920295715,0.4977000057697296,0.5047000050544739,-33.46670150756836
24,1052.7882,1146.759,388.6169,13.2107,525.7632,383.6463,485.1782,736346,-0.011515006422996521,-5.060768127441406,0.48890000581741333,0.4975999891757965,0.5040000081062317,-33.48460006713867
25,1030.4359,1088.7253,383.6004,10.6507,543.3964,409.5791,514.8614,788347,-0.10151319205760956,-4.940287113189697,0.48840001225471497,0.4975000023841858,0.5034999847412109,-33.48759841918945
26,1076.9529,1205.0733,335.0337,67.0316,524.9149,375.0466,480.4059,836868,0.0016386359930038452,-4.58452844619751,0.48829999566078186,0.4973999857902527,0.503600001335144,-33.50120162963867
27,1032.1888,1119.3572,398.9319,13.2931,553.1524,421.1711,523.3762,889729,0.01801075041294098,-4.569433689117432,0.4867999851703644,0.4975000023841858,0.5031999945640564,-33.49420166015625
28,1141.3048,1231.5283,410.1336,14.6107,588.4141,428.2335,535.6337,943828,0.004428163170814514,-4.555825710296631,0.48649999499320984,0.4973999857902527,0.503600001335144,-33.503299713134766
29,1142.0265,1298.3882,502.9443,23.9502,618.4721,420.5228,566.4257,1001037,0.02173510193824768,-4.5759124755859375,0.48579999804496765,0.49729999899864197,0.5037000179290771,-33.514400482177734
30,1164.4337,1279.0425,441.033,20.2563,588.1016,459.0475,539.9307,1055570,0.003639938309788704,-4.386099815368652,0.48489999771118164,0.49709999561309814,0.5037000179290771,-33.53160095214844
31,1141.2387,1189.7496,305.5652,17.5937,510.76,426.4934,462.505,1102283,0.005101415328681469,-4.494057655334473,0.48339998722076416,0.4970000088214874,0.5038999915122986,-33.54399871826172
32,1144.8342,1183.6946,451.2587,9.634,604.0957,443.2279,553.9406,1158231,0.014614608138799667,-4.513174533843994,0.48260000348091125,0.4966999888420105,0.5034999847412109,-33.56919860839844
33,1159.903,1246.7702,511.5696,17.0241,627.9135,443.4523,576.2574,1216433,-0.0439610630273819,-4.4339189529418945,0.4819999933242798,0.4966000020503998,0.5049999952316284,-33.58570098876953
34,1154.1647,1226.1926,1017.4604,17.4775,694.3181,430.4973,634.604,1280528,0.08395764231681824,-4.573675155639648,0.4812000095844269,0.49630001187324524,0.5059000253677368,-33.61159896850586
35,1188.1097,1339.4439,823.4064,14.0932,648.9374,435.0834,598.9703,1341024,0.0029870420694351196,-4.5981035232543945,0.4803999960422516,0.4959999918937683,0.5056999921798706,-33.641700744628906
36,1122.1132,1292.6084,399.6046,16.4249,615.2313,443.9062,556.3663,1397217,-0.004156447947025299,-4.403388500213623,0.4796000123023987,0.4957999885082245,0.505299985408783,-33.66360092163086
37,1176.2592,1299.056,1017.2785,20.4596,708.9698,432.2357,654.5446,1463326,-0.004266764968633652,-4.364429473876953,0.4787999987602234,0.49549999833106995,0.5052000284194946,-33.69269943237305
38,1162.1449,1257.0653,494.6682,14.319,617.0674,461.4427,549.5842,1518834,-0.029035042971372604,-4.314849853515625,0.47870001196861267,0.49540001153945923,0.5044999718666077,-33.70589828491211
39,1234.3578,1270.2575,473.5867,17.4365,615.5693,466.4663,546.4554,1574026,0.008423272520303726,-4.379006385803223,0.4771000146865845,0.4950999915599823,0.5044000148773193,-33.73640060424805
40,1217.907,1241.7089,641.1641,30.3432,631.1092,459.9828,560.2673,1630613,0.048081666231155396,-4.472100734710693,0.4763000011444092,0.49480000138282776,0.5041999816894531,-33.7672004699707
41,1141.0428,1240.8081,1027.3681,11.7368,702.6318,464.6046,631.1485,1694359,-0.0121602863073349,-4.495838642120361,0.4758000075817108,0.49459999799728394,0.5044000148773193,-33.78350067138672
42,1210.6601,1257.5989,1021.6388,32.9166,672.2223,469.9924,602.8713,1755249,0.03364626318216324,-4.773055076599121,0.47510001063346863,0.4943999946117401,0.5044000148773193,-33.80339813232422
43,1243.0853,1243.0853,1018.2171,15.2717,681.9283,459.1523,604.1485,1816268,-0.05709928274154663,-4.843128681182861,0.4745999872684479,0.49410000443458557,0.5042999982833862,-33.83530044555664
44,1215.0936,1236.3199,407.1697,10.1011,606.4994,471.1718,529.5842,1869756,-0.04962868243455887,-5.089147090911865,0.47360000014305115,0.49380001425743103,0.5044000148773193,-33.866798400878906
45,1206.4646,1351.1187,427.6661,27.2973,607.0476,459.0662,526.6931,1922952,-0.13264857232570648,-5.207797050476074,0.4731000065803528,0.4936000108718872,0.5047000050544739,-33.89179992675781
46,1179.7981,1237.7891,1072.4602,67.3075,875.7896,387.2103,781.1881,2001852,-0.007348999381065369,-5.506460666656494,0.47269999980926514,0.4934000074863434,0.5044000148773193,-33.90620040893555
47,1270.4589,1270.4589,482.2151,22.6248,619.4672,458.5983,533.5644,2055742,-0.033895790576934814,-5.519559383392334,0.4731000065803528,0.49309998750686646,0.5040000081062317,-33.941200256347656
48,1135.2916,1220.4895,1043.3938,58.354,822.7961,394.59,736.3069,2130109,-0.012196362018585205,-5.454709053039551,0.47269999980926514,0.4927999973297119,0.5045999884605408,-33.96839904785156
49,1274.149,1287.8746,445.1475,62.9022,608.1136,454.8853,503.8416,2180997,0.018299847841262817,-5.483985900878906,0.4715999960899353,0.4925000071525574,0.5047000050544739,-33.99689865112305
50,1208.4304,1265.2644,1030.2086,50.4587,753.5463,434.3695,662.3168,2247891,0.086086705327034,-5.628535270690918,0.47110000252723694,0.49239999055862427,0.5041000247001648,-34.012699127197266
51,1202.403,1319.9728,887.0391,49.209,709.4635,462.9374,608.1782,2309317,0.05717138946056366,-5.84265661239624,0.4700999855995178,0.4921000003814697,0.503600001335144,-34.03850173950195
52,1217.2482,1330.7066,1064.6642,57.8952,743.6112,471.8923,637.0,2373654,0.0481584370136261,-5.614538192749023,0.47029998898506165,0.492000013589859,0.5034999847412109,-34.0525016784668
53,1276.8294,1297.9669,495.8499,14.3287,653.6558,476.2853,544.7921,2428678,-0.03049829602241516,-5.657438278198242,0.4702000021934509,0.4916999936103821,0.5030999779701233,-34.07720184326172
54,1250.2878,1394.9593,232.0777,27.6496,507.0121,467.018,426.0099,2471705,0.009049445390701294,-5.706837177276611,0.46970000863075256,0.49149999022483826,0.5029000043869019,-34.09859848022461
